No.,Smiles,Enthalpy(kcal)
150,CC/C(=C\C(C)C)/C,-25.93
151,CCC(C=C)C(C)C,-22.44
152,CC(C)C(C)(C)C=C,-22.39
153,CC(C=C)C(C)(C)C,-24.26
154,CC/C(=C/C)/C(C)C,-24.19
155,CC/C(=C\C)/C(C)C,-23.97
156,C/C=C(/C)\C(C)(C)C,-22.39
157,C/C=C(\C)/C(C)(C)C,-25.38
158,CCC(=C)C(C)(C)C,-24.28
159,C/C=C(\C)/C(C)C,-19.62
160,CC(=C)C(C)(C)C,-20.55
161,CCC(=C)C(C)C,-19.19
162,C/C=C/C(C)(C)C,-21.39
163,C/C=C\C(C)(C)C,-17.52
164,C/C=C(/C)\C(C)C,-20.46
165,CC(C)C=C(C)C,-21.39
166,CCC(=C(C)C)C,-20.96
167,CC(C)(C)CC=C,-19.36
168,CCC(=CC)CC,-19.89
169,CC(C)C(C)C=C,-17.88
170,CCC(C)(C)C=C,-17.5
171,CC(C)CC(=C)C,-19.67
172,CCC(C)C(=C)C,-19.67
173,CCC(CC)C=C,-15.75
174,CCCC(=C)CC,-18.07
175,CC/C=C(\C)/CC,-19.1
176,CC/C=C(/C)\CC,-19.24
177,CC/C=C/C(C)C,-19.69
178,CC/C=C\C(C)C,-18.45
179,C/C=C/CC(C)C,-19.67
180,C/C=C\CC(C)C,-18.59
181,CCC(C)/C=C/C,-19.24
182,CCC(C)/C=C\C,-18.09
183,CCC/C(=C/C)/C,-20.2
184,CCC/C(=C\C)/C,-20.15
185,CCCC=C(C)C,-20.51
186,CC(C)CCC=C,-16.52
187,CCC(C)CC=C,-16.13
188,CCCC(C)C=C,-16.28
189,CCCCC(=C)C,-18.55
190,CCC/C=C/CC,-18
191,CCC/C=C\CC,-16.49
192,CCCC/C=C/C,-18.04
193,CCCC/C=C\C,-16.56
194,CCCCCC=C,-14.99
195,CC(C)(C)C=C,-14.41
196,CCC(=C)CC,-13.38
197,CC(C)=C(C)C,-16.47
198,C=C(C)C(C)C,-15.03
199,C/C=C(C)/CC,-15.03
200,C/C=C(C)\CC,-14.94
201,C/C=C\C(C)C,-13.58
202,C/C=C/C(C)C,-14.29
203,CCC=C(C)C,-15.94
204,CCCC(=C)C,-14.17
205,CCC(C)C=C,-11.78
206,CC(C)CC=C,-12.26
207,CC/C=C\CC,-11.35
208,CC/C=C/CC,-13
209,CCC/C=C\C,-12.05
210,C/C=C/CCC,-12.83
211,C=CCCCC,-10.13
212,CC(C)C=C,-6.6
213,CC(C)=CC,-9.89
214,C=C(C)CC,-8.39
215,C/C=C/CC,-7.5
216,C/C=C\CC,-6.38
217,C=CCCC,-5.09
218,C=C(C)C,-4.06
219,C/C=C/C,-2.65
220,C/C=C\C,-1.74
221,C=CCC,-0.07
222,C=CC,4.78
223,C=C,12.52
224,CCC#CC(C)(C)CC,11.81
225,CC(C)CC#CC(C)C,11.81
226,CCC#CCCC(C)C,11.81
227,CCCCC#CCCC,11.81
228,CCCCCC#CCC,10.33
229,CCCCCCC#CC,10.33
230,CCCCCCCC#C,14.82
231,CCC(C)(CC)C#C,16.73
232,CCCC#CCCC,16.73
233,CCCCC#CCC,15.27
234,CCCCCCC#C,19.67
235,CCC#CC(C)C,17.93
236,CC#CC(C)(C)C,15.2
237,CC(C)(C)CC#C,19.53
238,CC(C)C(C)C#C,20.58
239,CCC(C)(C)C#C,19.91
240,CCC(CC)C#C,23.14
241,CC#CCC(C)C,17.69
242,CCC(C)C#CC,18.4
243,CC(C)CCC#C,22.47
244,CCC(C)CC#C,22.44
245,CCCC(C)C#C,23.06
246,CCCC#CCC,19.84
247,CCCCC#CC,20.27
248,CCCCCC#C,24.62
249,C#CC#CC#C,160.13
250,C#CCCC#C,99.98
251,CCC(C)C#C,27.94
252,CC(C)CC#C,27.13
253,CC#CC(C)C,23.3
254,CCC#CCC,24.62
255,C#CC(C)(C)C,24.62
256,CC#CCCC,25.12
